Title,Genre,Release date,Runtime
Little Monsters,Comedy horror,11-Oct-19,1 h 34 min
Wounds,Horror,18-Oct-19,1 h 34 min
Big Time Adolescence,Comedy,13-Mar-20,1 h 31 min
Palm Springs,Romantic comedy,10-Jul-20,1 h 30 min
The Binge,Comedy,28-Aug-20,1 h 38 min
Books of Blood,Horror anthology,7-Oct-20,1 h 47 min
Bad Hair,Comedy horror,23-Oct-20,1 h 55 min
Run,Horror,20-Nov-20,1 h 30 min
Happiest Season,Romantic comedy,25-Nov-20,1 h 42 min
The Ultimate Playlist of Noise,Musical comedy-drama,15-Jan-21,1 h 39 min
The United States vs. Billie Holiday,Biographical drama,26-Feb-21,2 h 10 min
Boss Level,Science fiction action,5-Mar-21,1 h 40 min
Plan B,Comedy,28-May-21,1 h 48 min
False Positive,Horror,25-Jun-21,1 h 32 min
Vacation Friends,Comedy,27-Aug-21,1 h 45 min
Mother/Android,Science fiction thriller,17-Dec-21,1 h 50 min
Sex Appeal,Teen romantic comedy,14-Jan-22,1 h 30 min
No Exit,Thriller,25-Feb-22,1 h 35 min
Fresh,Thriller,4-Mar-22,1 h 54 min
Deep Water,Psychological thriller,18-Mar-22,1 h 55 min
Crush,Romantic comedy,29-Apr-22,1 h 32 min
The Valet,Romantic comedy,20-May-22,2 h 3 min
Fire Island,Romantic comedy,3-Jun-22,1 h 45 min
"Good Luck to You, Leo Grande",Romantic comedy,17-Jun-22,1 h 37 min
The Princess,Fantasy Action-thriller,1-Jul-22,1 h 34 min
Not Okay,Comedy,29-Jul-22,1 h 43 min
Prey,Science fiction horror,5-Aug-22,1 h 39 min
Hellraiser,Horror,7-Oct-22,2 h
Grimcutty,Horror,10-Oct-22,1 h 41 min
Rosaline,Romantic comedy,14-Oct-22,1 h 37 min
Matriarch,Horror,21-Oct-22,1 h 25 min
Darby and the Dead,Drama,2-Dec-22,1 h 40 min
It's A Wonderful Binge,Comedy,9-Dec-22,1 h 38 min
The Drop,Comedy,13-Jan-23,1 h 32 min
Bruiser,Drama,24-Feb-23,1 h 37 min
Boston Strangler,Thriller,17-Mar-23,1 h 53 min
Rye Lane,Romantic comedy,31-Mar-23,1 h 23 min
Awaiting release,,,
Quasi[1],Drama,"April 20, 2023[2]",TBA
Clock,Psychological thriller,"April 28, 2023[3]",TBA
White Men Can't Jump,Comedy,"May 19, 2023[4]",TBA
Flamin' Hot,Drama,"June 9, 2023[5]",TBA
